d0001	YHQ 176-band,1-ilova3-bo'lim 3.27 yo'l belgisi.
d0051	YHQ 24-bobi 143-bandiga asosan, qattiq yoki egiluvchan ulagich yordamida shatakka olingan avtobusda, trolleybusda va yuk avtomobili yukxonasida odam tashish, qisman ortish yo'li bilan shatakka olishda esa shatakka olingan transport vositasining kabinasida va yukxonasida, shuningdek, shatakka olgan transport vositasining yukxonasida odamlar bo'lishi taqiqlanadi.
d0052	YHQ 1-ilova 3-bo'lim 3.22 belgisiga asosan, "Yuk avtomobillarida quvib o'tish taqiqlangan" Yo'l belgisi talabiga muvofiq, to'la vazni 3,5 tonnadan ortiq bo'lgan yuk avtomobillarida barcha transport vositalarini quvib o'tish taqiqlanadi (soatiga 40 km.dan kam tezlikda harakatlanayotgan transport vositasi, traktor, ot arava, velosiped bundan mustasno) 3.22 "Yuk avtomobillarida quvib o'tish taqiqlangan" belgisi ostidagi 7.1.1. "Ob'ektgacha bo'lgan masofa" qo'shimcha axborot belgisi 3.22 belgisi ta'sir hududi boshlanadigan joygacha bo'lgan masofani ko'rsatadi.
d0053	YHQ 1-ilova 1-bo'lim 1.31.3. yo'l belgisi.
d0054	YHQ 110-band.
d0055	YHQ 86-band.
d0056	YHQ 44-band.
d0057	Konoplyanko V.I. 9 bet. Joydan qo'zg'alayotgan vaqtda katta inertsiya kuchi vujudga keladi va uni bartaraf qilish uchun etaklovchi g'ildiraklarga katta tortish kuchini qo'shish lozim. Gorizontal yo'lda katta bo'lmagan tezlikda bir tekis harakat paytida qarshilik kuchi katta emas va uni bartaraf qilish uchun kamroq tortish kuchi etarli. Ko'proq tortilganda boshqaruvchi g'ildiraklar o'rnidan jilmay aylanadi.
d0058	YHQ 3-ilova 5.7-band.
d0059	YHQ 7-bobi 32-bandiga asosan, yo'naltirgich ko'rinishidagi qizil, sariq va yashil rangli svetofor ishoralari ham doira shaklidagi svetofor ishoralari bilan bir xil ma'noga ega bo'ladi. Agar tegishli yo'l belgisi bilan qayrilib olish taqiqlanmagan bo'lsa, chapga burilishga ruxsat beruvchi yashil yo'naltirgich qayrilib olishga ham ruxsat beradi. Qo'shimcha tarmoqdagi yashil yo'naltirgich ham xuddi shunday ma'noni bildiradi.
d0060	YHQ 67-band.
d0061	YHQ 2-ilovasining 1-bo'limi 1-xatboshiga asosan, 1.1 chizig'i qarama-qarshi yo'nalishdagi transport oqimini ajratadi va yo'lning xavfli hududlarida bo'laklar chegarasini bildiradi; kirish mumkin bo'lmagan joylarda qatnov qismining chegarasini bildiradi; transport vositalarining to'xtab turish joylari chegaralarini va avtomagistrallarga taalluqli bo'lmagan yo'lning qatnov qismi chegarasini bildiradi. 1.1chizig'ini bosib o'tish taqiqlanadi, harakatlanish qismining chetini bildirish uchun qo'llanilgan 1.1 chizig'i bundan mustasno.
d0062	YHQ 35-band.
d0063	YHQ 11-bobi 79-bandi 1-xatboshiga asosan, aholi punktlaridan tashqarida: engil avtomobillarga va ruxsat etilgan to'la vazni 3,5 tonnadan oshmaydigan yuk avtomobillariga tezlikni soatiga 100 kilometrdan oshirmasdan harakatlanishga ruxsat etiladi.
d0064	YHQ 13-bobi 91-bandiga asosan, quyidagi joylarda to'xtash taqiqlanadi: to'xtagan transport vositasi bilan sidirg'a chiziq (qatnov qismining chetini belgilagan chiziqdan tashqari) orasidagi masofa 3 metrdan kam bo'lgan joylarda.
d0065	E.V.Bocharov "Bezopasnost dorojnogo dvijeniya"-27-31 bet. Tormoz yo'li kattaligini quyidagi formula orqali aniqlash mumkin: S=ke*va^2/2gp bunda S - tormoz yo'li; ke - avtomobilning ushbu yo'lda mumkin qadar haqiqiy sekinlashishi nazariy sekinlashishidan necha baravar kamligini ko'rsatuvchi tormozlanish samaradorligi koeffitsienti; va - avtomobil harakatining boshlang'ich tezligi; p - shinaning yo'l bilan tishlashish koeffitsienti. Ushbu formulada ko'rinadiki, tormoz yo'li kattaligi tormozlanishdan avval harakatlanayotgan avtomobil tezligi kvadratiga nisbatan mutanosibdir. Shu bois harakat tezligi ikki baravar ko'paysa, tormoz yo'li to'rt baravar ko'payadi.
d0066	YHQ 164-band.
d0067	YHQ 1-ilovasining 1-bo'limidagi 1.6 belgiga asosan, "Teng ahamiyatli yo'llar kesishuvi" haydovchilarni teng ahamiyatli yo'llar chorrahasiga yaqinlashayotganligi haqida axborot beradi.
d0068	YHQ 18-bobi 119-bandiga asosan,- Kesishma orqali harakatlanish taqiqlangan hollarda haydovchi to'xtash chizig'i, 2.5 yo'l belgisi yoki svetofor oldida, ular bo'lmaganda shlagbaumga kamida 5 metr, shlagbaum bo'lmaganda esa birinchi temir yo'l iziga kamida 10 metr qolganda to'xtashi kerak.
d0069	YHQ 104-band.
d0070	YHQ 142-band.
d0071	YHQ 25-bobi 150-bandiga asosan, boshqarishni o'rgatish uchun mo'ljallangan mexanik transport vositalari "Boshqarishni o'rgatish transport vositasi" taniqlik belgisi va yo'riqchi uchun orqani ko'rsatuvchi ko'zgu bilan jihozlanishi kerak. Bundan tashqari boshqarishni o'rgatish uchun mo'ljallangan transport vositalarida yo'riqchi uchun qo'shimcha ulovchi (stseplenie) va to'xtatish tepkilari ham bo'lishi kerak.
d0072	YHQ 7-bobi 38-bandiga asosan, tartibga soluvchining O'NG QO'LI OLDINGA UZATILGANDA, chap yonidan tramvayga chapga, relssiz transport vositalariga barcha yo'nalishlarda, oldi tomonidan barcha transport vositalariga faqat o'ngga harakatlanishga ruxsat etiladi. YHQ 8-bobi 8.14-bandiga muvofiq, haydovchilar va piyodalar tartibga soluvchining ishorasi va ko'rsatmalariga ular svetofor ishoralari, yo'l belgilari va chiziqlariga zid kelgan taqdirda ham amal qilishlari kerak.
d0073	YHQ 1-ilovasining 2-bo'limidagi 2.6 belgiga asosan, "Ro'para harakatlanishning ustunligi" belgisida qarama-qarshi harakatlanishni qiyinlashtiradigan hollarda yo'lning tor qismiga kirish taqiqlanadi. Haydovchi yo'lning tor qismida bo'lgan yoki ro'paradan harakatlanayotgan transport vositasiga yo'l berishi kerak.
d0074	YHQ 36-band.
d0075	YHQ 14-bobi, 98 band: Aylanma harakatlanish chorrahasida harakatlanayotgan transport vositalari aylanaga kirib kelayotgan transport vositalariga nisbatan ustunlikka (imtiyozga) ega.
d0076	YHQ 68-band.
d0077	YHQ 8-bobi 46-bandi 3-xatboshiga asosan, ogohlantiruvchi ishora berish haydovchiga oldin o'tish huquqini bermaydi va uni zaruriy ehtiyot choralarini ko'rish mas'uliyatidan ozod qilmaydi.
d0078	YHQ 145-band.
d0079	YHQ 149-band.
d0080	E.V.Bocharov "Bezopasnost dorojnogo dvijeniya"-41-48 str. Avtomobilning sirpanchiq yo'lda surilishi orqa g'ildiraklarining blokirovkasi sababli tormozlanishda vujudga keladi. Bu holda birinchi navbatda surilish sababini bartaraf etish, ya'ni boshlangan tormozlanishni to'xtatish lozim. Keyinchalik rul chambaragini surilish tomon burib, harakat yo'nalishini to'g'rilab olish mumkin.
d0081	YHQ 2-ilova 1-bo'lim 1.1 yotiq chizig'i.
d0082	YHQ 18-bobi 118-bandi 6-xatboshiga asosan, temir yo'l kesishmasida taqiqlanadi: kesishma oldida turgan transport vositalarini qarama-qarshi harakatlanish bo'lagiga chiqib aylanib o'tish taqiqlanadi.
d0083	YHQ 25, 26, 104 va 106-bandlar
d0084	YHQ 9-bobi 54-bandiga asosan, yondosh hududlardan yo'lga chiqayotgan haydovchi unda harakatlanayotgan transport vositalariga va piyodalarga, shuningdek, undan chiqishda o'zining harakat yo'nalishini kesib o'tayotgan piyodalar va velosipedchilarga yo'l berishi kerak.
d0085	YHQ 13-bobi 91-bandi 9-xatboshiga asosan, to'xtash taqiqlanadi: transport vositasi svetofor ishoralari, yo'l belgilarini boshqa haydovchilardan to'sib qo'yadigan yoki boshqa transport vositalarining harakatlanishiga (kirish va chiqishga) imkon qoldirmaydigan va piyodalarning harakatiga xalaqit beradigan joylarda.
d0086	YHQ 3-ilovasining 2-bo'limi 2.1-bandiga asosan, N2, N3 toifadagi avtotransport vositalarini boshqaruv qurilmasida erkin harakatlanuvchi qismlar o'rtasidagi yoyilish yig'indisi - lyuft ko'pi bilan 25 gradus bo'lishi kerak.
d0087	YHQ 105, 107-bandlari.
d0088	YHQ 88-band.
d0089	YHQ 1-ilova 2-bo'lim 2.4 yo'l belgisi.
d0090	YHQ 18-bobi 120-bandi 5-xatboshi izohiga asosan, umumiy xatar ishorasi bitta uzun va uchta qisqa tovush ishorasi orqali beriladi.
d0091	YHQ 16-bobi 105-bandiga asosan, teng ahamiyatga ega bo'lgan yo'llar kesishgan chorrahada relssiz transport vositasining haydovchisi o'ng tomondan kelayotgan transport vositalariga yo'l berishi shart.
d0092	Konoplyanko V.I. 17-20 ,betlar. Orqa o'qi etakchi bo'lgan avtomobillarda sirpanchiq yo'lda sirpanish holati rul chambaragini birdan (keskin) burish natijasida kelib chiqadi. Bu holda rul chambaragini tez, biroq ravonlik bilan surilish tomon burib, sirpanish tugashini kutmasdan, rul chambaragiga oldinroq ta'sir etgan holda avtomobil yo'nalishini to'g'rilab olish lozim.
d0093	YHQ 8-bobi 48-bandiga asosan, aholi punktlaridan tashqarida boshqa haydovchilarni quvib o'tish haqida ogohlantirish uchun tovushli ishoralar qo'llanilishi mumkin. 49-bandi 1-xatboshi: quvib o'tish haqida tovushli ishora o'rniga yoki u bilan birga fara chiroqlarini yoqib-o'chirib ogohlantirish ishorasini berish mumkin.
d0094	Yu.V.Bashuev.K.A.Karimova 32 bet, 6- savol. Qon tomirlari (o'mrov ostidagi arteriya (ko'ktomir) va nervlarning shikastlanishiga olib kelishi mumkin bo'lgan singan o'mrov suyagining siljishiga yo'l qo'ymaslik uchun to'g'ri burchak ostida tirsakda bukilgan qo'lni uchburchak ro'molga osib qo'yib, bint bilan gavdaga bog'lab o'rash lozim.
d0095	YHQ 3-ilova 3.1-band. O'zbekiston Respublikasi Vazirlar Mahkamasining 04.07.2012 yildagi 191-sonli qarori.
d0096	YHQ 7-bobi 38-bandiga asosan, tartibga soluvchining O'NG QO'LI OLDINGA UZATILGANDA, chap yonidan tramvayga chapga, relssiz transport vositalariga barcha yo'nalishlarda, oldi tomonidan barcha transport vositalariga faqat o'ngga harakatlanishga ruxsat etiladi. Orqa tomonidan va o'ng yonidan barcha transport vositalarining harakatlanishi taqiqlanadi. Piyodalarga tartibga soluvchining orqa tomonidan qatnov qismini kesib o'tishga ruxsat etiladi.
d0097	YHQ 16-bobi 104, 106-bandlariga asosan, teng ahamiyatga ega bo'lmagan yo'llar kesishgan chorrahada, keyingi harakat yo'nalishidan qat'iy nazar, asosiy yo'ldan kelayotgan transport vositasiga ikkinchi darajali yo'ldan kelayotgan transport vositasining haydovchisi yo'l berishi kerak. Asosiy yo'lning yo'nalishi chorrahada o'zgarganda, asosiy yo'lda harakatlanayotgan haydovchilar o'zaro teng ahamiyatli yo'llar chorrahasidan o'tish qoidasiga amal qilishlari kerak. Ikkinchi darajali yo'llarda harakatlanayotgan haydovchilar ham o'zaro shu qoidaga amal qilishlari lozim.
d0098	E.V.Bocharov 34-36 bet.Sirpanchiq yo'lda to'xtatish tepkisini uzuq-uzuq bosib, uzatma va ilashish mexanizmini ajratmay, dvigatel orqali tormozlanishni qo'llab va g'ildiraklarning blokirovkasi (aylanmasdan sirpanishi)ga yo'l qo'ymagan holda to'xtash lozim.
d0099	YHQ 3-ilovasining 5-bo'limi 5.5-bandiga asosan, transport vositasining bitta o'qiga diagonal va radial, shuningdek, har xil naqshli shinalar o'rnatilishi taqiqlanadi.
d0100	YHQ 8 va 23-boblari 44 va 135-bandlariga asosan, quyidagilar ogohlantiruvchi ishoralar hisoblanadi: burilishni ko'rsatadigan miltillovchi chiroq yoki qo'l bilan beriladigan ishoralar; tovushli ishoralar; fara chiroqlarining yoqib-o'chirilishi; kunduz kuni yaqinni yorituvchi fara chirog'ining yoqilishi.
d0101	YHQ 1-ilovasining 1-bo'limi 1.7 belgiga asosan, "Aylanma harakatlanish bilan kesishuv", 1.18.2-bandi "Yo'lning torayishi", 1.31.1-bandi "Burilishning yo'nalishi", 1.11.1-bandi "Xavfli burilish", 1.12.1-bandi "Xavfli burilishlar" belgilar ogohlantiruvchi belgilar jumlasiga kiradi.
d0102	YHQ 83-band.
d0103	YHQ 2-ilovasining 1-bo'limi 1.3-bandiga asosan, sidirg'a chiziq to'rt va undan ortiq harakatlanish bo'lagi bo'lgan yo'llarda qarama-qarshi yo'nalishdagi transport vositalari oqimini ajratadi.
d0104	YHQ 1-ilovasining 2-bo'limi 2.5-bandiga asosan, "To'xtamasdan harakatlanish taqiqlangan" belgisi to'xtash chizig'i oldida, agar u bo'lmasa, kesib o'tiladigan qatnov qismining chetida to'xtamasdan harakatlanish taqiqlanadi. Haydovchi kesib o'tilayotgan yo'ldan, 7.13 qo'shimcha-axborot belgisi bo'lganda esa asosiy yo'ldan harakatlanayotgan transport vositalariga yo'l berishi kerak.
d0105	YHQ 1-ilovasining 3-bo'limi 4-xatboshiga asosan, 3.18.1 belgisi qatnov qismlarining qaysi kesishmasi oldiga o'rnatilsa, shu kesishmaga tatbiq etiladi.
d0106	YHQ 2-ilova 1-bo'lim 1.4 yotiq chizig'i.
d0107	YHQ 7 bobi 38 bandiga asosan tartibga soluvchiningqo'llari yon tomonga uzatilganda yoki tushirilganda: chap va o'ng yon tomonidan tramvayga to'g'riga, relssiz transport vositalariga to'g'riga va o'ngga harakatlanishga, piyodalarga qatnov qismini kesib o'tishga ruxsat beriladi; old va orqa tomonidan barcha transport vositalari va piyodalarning harakatlanishi taqiqlanadi;
d0108	YHQ 104, 107-bandlari.
d0109	YHQ 6-band.
d0110	YHQ 95-band.
d0111	Yu.V.Bashuev.K.A.Karimova 33 bet, 22- savol. Son suyagi singan holda ikkita taxtakach: biri - tashqari tarafda oyoq kaftidan to qo'ltiqosti chuqurigacha, boshqasi - ichki tarafda oyoq kaftidan to chovgacha qo'yiladi. Son suyagi singan holda immobilizatsiya vositasi bo'lmasa, shikastlangan oyoq sog' oyoqqa mahkamlanib qo'yiladi. Mahkamlovchi bog'ich singan suyakni siljitmasligi va jabrlanuvchiga qo'shimcha og'riq etkazmasligi lozim. Mahkamlovchi bog'ich oyoqning sog' qismiga bog'lanadi.
d0112	YHQ 1-ilovasining 7-bo'limi 3-xatboshiga asosan, vaqtinchalik (ko'chma tirgakdagi) va doimiy belgilar ma'no jihatidan bir-biriga zid kelgan hollarda, haydovchilar vaqtincha o'rnatilgan belgilarga amal qilishlari kerak.
d0113	YHQ 18-bobi 116-bandiga asosan, transport vositalarining haydovchilari temir yo'llarni faqat temir yo'l kesishmalari orqali poezd (lokomotiv, drezina)larga yo'l berib kesib o'tishlari mumkin.
d0114	Konoplyanko V.I. 17-20 betlar. Burilishlarda yo'lovchisi va yuki bo'lmagan avtomobillar ko'proq muvozanat saqlab qoladi, chunki bunday avtomobilda og'irlik markazi eng pastda joylashgan bo'lib, eng kam ag'darilish jihatiga ega bo'ladi.
d0115	Yu.V.Bushuev,K.A.Karimova 33 bet, 23- savol.Tos suyagi singanda jabrlanuvchi tekislikka yotqiziladi, oyoqlarni tizzalarida bukib, tagiga valik qo'yiladi. Shu holatda jabrlanuvchi davolash muassasasiga olib boriladi.
d0116	YHQ 1-ilovasining 5-bo'limi 5.41-belgisi izohiga binoan, ushbu belgi yo'l qismida maxsus avtomatlashtirilgan foto va video qayd etish texnika vositalari o'rnatilganligi haqida axborot beradi.
d0117	YHQ 1-ilovasining 3-bo'limi 3.15 belgi talabiga asosan, "Cheklangan uzunlik". Gabarit uzunligi (yuk bilan yoki yuksiz) belgida ko'rsatilganidan ortiq bo'lgan transport vositalari (transport vositalari tarkiblari)ning harakatlanishi taqiqlanishini bildiradi.
d0118	YHQ 17-bobi 114-bandiga asosan, agar yo'lovchilarni tushirish yoki chiqarish qatnov qismida yoki unda joylashgan maydonchada amalga oshirilayotgan bo'lsa, haydovchi bekatda to'xtagan belgilangan yo'nalishdagi transport vositasi eshiklari tomon borayotgan yoki undan kelayotgan piyodalarga yo'l berishi kerak.
d0119	YHQ 135-band.
d0120	YHQ 12-bobi 86-bandi 2-xatboshiga asosan, quvib o'tish quyidagi hollarda taqiqlanadi: tartibga solinmaydigan chorrahalarda asosiy hisoblanmaydigan yo'llarda harakatlanishda.
