o0001	Qizilga
o0103	Shlagbaum bilan jihozlanmagan ikki izli temir yo'l kesishmasi borligidan
o0104	Ikkinchi
o0105	Birinchi
o0106	Motosiklga
o0107	Yuk avtomobiliga
o0108	Avtobusga
o0109	Yengil avtomobilga
o0110	Yengil va yuk avtomobillariga
o0111	Motosikl haydovchisi
o0112	O'ng tasmadan
o0113	O'rta tasmadan
o0114	O'ng yoki o'rta tasmadan
o0115	O'rta tasmadan, lekin faqat o'ng tasma band bo'lganda
o0116	Har bir yo'nalishda ikkitadan tasmasi bo'lgan yo'llarda
o0117	Har bir yo'nalishda uchta va undan ko'p tasmasi bo'lgan yo'llarda
o0118	Faqat bir tomonlama harakatli yo'llarda
o0119	Yo'lning qatnov qismi kengaygan joylarda boshqa yo'l harakati qatnashchilariga xalaqit bermaslik sharti bilan
o0120	Bint
o0121	Gazmol
o0122	Taxta bo'lagi
o0123	Alohida ehtiyotkorlik bilan borishga ruxsat beriladi
o0124	Barcha holatlarda
o0125	Kechiktirib bo'lmaydigan xizmat vazifalarini bajarish uchun
o0126	Ish joyiga borish uchun
o0127	Yuk avtomobili haydovchisi
o0128	Avtobus haydovchisi
o0129	Agar avtobus belgilangan yo'nalish bo'yicha harakatlanayotgan bo'lsa ruxsat etiladi
o0130	Faqat ikkinchi tasmadan
o0131	Faqat "А" chizig'i bilan belgilangan o'ng chekkadagi tasmadan
o0132	Ko'k, yashil avtomobillarga harakatlanishga ruxsat etiladi. Qizil, sariq, oq avtomobillarga taqiqlanadi
o0133	Ko'k, qizil, yashil avtomobillarga harakatlanishga ruxsat etiladi. Sariq, oq avtomobillarga taqiqlanadi
o0134	110 km/s
o0135	100 km/s
o0136	90 km/s
o0137	80 km/s
o0138	70 km/s
o0139	O'ng tasmani
o0140	Chap tasmani
o0141	O'ng yoki chap tasmani
o0142	To'xtab turish tormozi bilan
o0143	Birinchi uzatma ulangan holda ulovchini joydan jilmay aylantirish hisobiga
o0144	Yurgizgich o'chirilib, past uzatma ulangan holda
o0145	Ishchi tormoz bilan
o0146	Yuk ortib ketayotganda
o0147	Ruxsat etilgan hollarda chapga burilish yoki orqaga qaytish uchun
o0148	Ikkala sanab o'tilgan hollarda
o0149	Ruxsat etiladi.
o0150	Yo'lning qatnov qismi chetiga to'g'ri burchak ostida, uning ikkala tomoni yaxshi ko'rinib turadigan, ko'rinish masofasida o'tish joyi yoki chorraha bo'lmasa, ajratuvchi mintaqasiz va to'siqsiz yo'llarda kesib o'tish ruxsat etiladi.
o0151	Taqiqlanadi.
o0152	15-25 m
o0153	25-50 m
o0154	50-100 m
o0155	100-150 m
o0156	150-300 m
o0157	50 km/s tezlik bilan ruxsat etilgan.
o0158	Faqat qisman ortish usuli bilan yoki qattiq tirkagich bilan ruxsat beriladi.
o0159	Egiluvchan tirkagich bilan ruxsat beriladi.
o0160	Istalgan usulda ruxsat etilgan
o0161	Kerak.
o0162	Kerak emas.
o0163	Kerak emas, chunki u to'g'riga ketayapti
o0164	Faqat qizil avtomobilga.
o0165	Barcha transport vositalariga.
o0166	Qizil, ko'k va yashil avtomobillarga.
o0167	60 km/s
o0168	Qatnov qismining chekkasida to'xtash oldidan
o0169	"Xavfli burilish" belgisi bilan belgilangan yo'lning egri burilish joyi oldidan.
o0170	Qo'shni harakat tasmasiga o'tish oldidan.
o0171	Belgida ko'rsatilgandan ortiq yuk ko'taruvchi yuk avtomobillari va transport vositalari tarkibi (tirkamali yuk avtomobillari)ning harakat qilishi taqiqlanadi.
o0172	Umumiy haqiqiy vazni (yo'lovchilar va yuk vaznini qo'shgan holda) belgida ko'rsatilgandan ortiq bo'lgan transport vositalari, shu jumladan-tirkamali transport vositalarining harakat qilishi taqiqlanadi.
o0173	0,8 mm.
o0174	1,2 mm.
o0175	1,6 mm
o0176	2 mm.
o0177	2,5 mm.
o0178	Qatnov qismi yoki trotuar tomonidan
o0179	Trotuar tomonidan
o0180	Yo'l yoqasida yoki qatnov qismi tomonidan
o0181	Trotuarda yoki yo'l yoqasi tomonidan
o0182	"А"
o0183	"Б"
o0184	"В"
o0185	"А" va "В"
o0186	Ruxsat etilgan to'la vazni 3,5 t dan ortiq transport vositalarining to'xtab turish joyi ko'rsatkich qatnov qismining chetida baland to'siq, toshi borligini bildiradi
o0187	Transport vositalarining to'xtab turish joyiga avtomobilni ko'rsatilgan usulda qo'yish taqiqlanadi
o0188	Yengil avtomobillar va motosikllarni to'xtab turishga qo'yish joyi va usuli
o0189	Barcha hollarda o'tkazib yuborishlari kerak
o0190	O'tkazib yuborishlari kerak emas
o0191	Motosikl, tramvay va avtomobil
o0192	Tramvay, motosikl, avtomobil
o0193	Tramvay va avtomobil, motosikl
o0194	Avtomobil va motosiklga
o0195	To'g'riga va o'ngga
o0196	Yo'l qo'yilmaydi
o0197	Yo'l qo'yiladi, agar bu boshqa transport vositalariga xalaqit bermasa, harakat xavfsizligini ta'minlab, talablardan chetga chiqishi mumkin
o0198	Aholi punktidan tashqaridagi yo'llarda yo'l qo'yiladi
o0199	Yo'l qo'yiladi, lekin faqat chorrahada emas
o0200	2 m
o0201	3 m
o0202	4 m
o0203	5 m
o0204	6 m
o0205	Piyodalar bo'lmaganda ruxsat etiladi
o0206	Avtobusda ruxsat etiladi
o0207	Yengil avtomobilda ruxsat etiladi
o0208	Qattiq ulagichda shatakka olingan yuk avtomobili yukxonasida ruxsat etiladi
o0209	Agar quvib o'tilayotgan transportning tezligi 40 km/s dan kam bo'lsa ruxsat etiladi
o0210	Piyodalar o'tish joyidan o'tish
o0211	Piyodalar o'tish joyidan to'xtamasdan o'tish, lekin alohida ehtiyotkorlik bilan
o0212	Harakatni davom ettirish, lekin to'xtab turgan transport vositasi oldida piyodalar yo'qligiga ishonch hosil qilgan holda
o0213	Albatta to'xtash, piyodalar paydo bo'lsa, ularni o'tkazib yuborish
o0214	Yashil, ko'k va qora avtomobillarga
o0215	Qizil, sariq va yashil avtomobillarga
o0216	Yashil, ko'k va qizil
o0217	Tramvay, avtobus, yengil avtomobil
o0218	Avtobus, yengil avtomobil, tramvay
o0219	Yengil avtomobil, tramvay, avtobus
o0220	Tartibga solingan chorrahalarda
o0221	Tartibga solinmagan chorrahalardagi asosiy bo'lib hisoblanmaydigan yo'llarda
o0222	Teng ahamiyatga ega bo'lgan chorrahalarda
o0223	Hamma sanab o'tilgan hollarda
o0224	Bo'ladi
o0225	Bo'lmaydi
o0226	Yurgizgich o'chib qoladi
o0227	Ulagich detallarining yemirilishi ortadi
o0228	Yetakchi g'ildiraklar o'rnidan jilmay aylanadi
o0229	Qo'shaloq shinalar orasiga xavf-xatar tug'diruvchi begona qismlar qisilib, tiqilib qolganda
o0230	Shina o'lchamlari yoki cheklangan og'irlik transport vositasining to'g'riga mos kelmaydi
o0231	M1, M2, M3 toifali 1 klass avtotransport vositalarining oldingi o'qiga 1 klassda ta'mirlangan shinalar qo'yilgan
o0232	Barcha sanab o'tilganlarda hollarda ruxsat etiladi
o0233	Avtomobil haydovchisiga
o0234	Avtomobil va motosikl haydovchisiga
o0235	Tramvay va avtomobil haydovchisiga
o0236	Qizil avtomobilga - to'g'riga, ko'k avtomobilga - to'g'riga va chapga
o0237	Qizil va ko'k avtomobilga - to'g'riga
o0238	Qizil avtomobilga - to'g'riga, ko'kka - chapga va qayrilib olishga
o0239	Agar quvib o'tilayotgan transport vositasi 40 km/s dan kam tezlik bilan harakatlanayotgan bo'lsa, ruxsat beriladi
o0240	Qatnov qismining butun kengligi bo'yicha
o0241	Qatnov qismidagi harakatlanish yo'nalishi qarama-qarshi tomonga o'zgaradigan tasmalar bo'yicha
o0242	Faqat belgilangan yo'nalishdagi transport vositalar uchun mo'ljallangan tasma bo'yicha
o0243	Qizil avtomobil, tramvay, yashil, ko'k avtomobil
o0244	Tramvay, qizil, ko'k, yashil avtomobil
o0245	Tramvay, qizil, yashil, ko'k avtomobil
o0246	Suyuqlik bilan 75% gacha to'ldirilgani
o0247	Suyuqlik bilan to'liq to'ldirilgani
o0248	5,5 m
o0249	3,5 m
o0250	2,5 m
o0251	Tormoz yo'li harakat tezligiga bog'liq emas
o0252	Uch marta
o0253	To'rt marta
o0254	Ikki marta
o0255	16 m
o0256	18 m
o0257	20 m
o0258	22 m
o0259	24 m
o0260	Harakat tasmasini o'zgartirmasdan to'xtashi va majburiy to'xtash chiroqlarini yoqishi
o0261	Tezlikni pasaytirish va boshqa qatorga o'tish bilan bog'liq keskin manyovrlarga yo'l qo'ymasdan harakatni davom ettirish
o0262	Yo'l berishi
o0263	Harakat tezligini 5km/s oshmasligi kerakligini bildiradi
o0264	Transport vositalarini boshqarishni o'rgatish
o0265	Kirib, chiqib ketish harakati taqiqlanadi
o0266	Yengil avtomobillarning tunda to'xtab turishini taqiqlaydi
o0267	Yaqinlashib kelayotgan poezd yo'qligiga shaxsan ishonch hosil qilishi va kesishmadan o'tishi kerak
o0268	Shlagbaumning holatiga asoslangan holda kesishmadan o'tishi kerak
o0269	Shlagbaumgacha 10 metrdan yaqin bo'lmagan masofada to'xtash
o0270	To'xtash chizig'i oldida, "To'xtamasdan harakatlanish taqiqlangan" belgisi oldida, agar ular yo'q bo'lsa shlagbaumgacha 5 metrdan yaqin bo'lmagan masofada to'xtash
o0271	Tramvay
o0272	Barcha hollarda
o0273	Egiluvchan yoki qattiq ulagichda shatakka olishda
o0274	Qattiq ulagichning tuzilishi shatakka olingan transport vositalarini shatakka olgan transport vositalarining izidan harakatlanishini ta'minlaganda
o0275	Qattiq ulagichda shatakka olishda
o0276	Ruxsat beriladi
o0277	Burilishni ko'rsatadigan miltillovchi chiroq yoki qo'l bilan beriladigan ishoralar
o0278	Tovushli ishoralar
o0279	Fara chiroqlarini o'chib-yoqilishi va kunduzgi vaqtda yaqinni yorituvchi fara chirog'ining yoqilishi
o0280	Sanab o'tilgan barcha ishoralar
o0281	Qoidalarning talablariga asosan taniqli belgilari bilan
o0282	Ilashma va ishchi tormozning qo'shimcha tepkilari bilan
o0283	O'rgatuvchi uchun orqani ko'rsatuvchi ko'zgu bilan
o0284	Sanab o'tilgan barcha jihozlar va belgilar bilan
o0285	Pnevmatik tormoz yuritmasining manometri ishlamaydi
o0286	Motosiklning boshqaruv dempferi nosoz
o0287	M1 toifasidagi transport vositasining rul boshqarmasi lyuft yig'indisi 10 gradusdan ortiq
o0288	Barcha sanab o'tilgan hollarda
o0289	To'xtash va svetoforning yashil chirog'ini kutish
o0290	Barcha yo'nalishlar bo'yicha
o0291	Ro'paradan kelayotgan transport vositalariga nisbatan birinchi o'tish huquqini beradi
o0292	Haydovchi ro'paradan harakatlanayotgan transport vositasiga yo'l berishi kerak
o0293	Bir tomonlama harakatli yo'l qismining tamom bo'lganini bildiradi
o0294	"А" bo'yicha ruxsat etilgan
o0295	"Б" bo'yicha ruxsat etilgan
o0296	Ikkovi bo'yicha ham ruxsat etilgan
o0297	To'g'riga va chapga
o0298	Ko'k avtomobilga nisbatan ustunlikka ega, chunki asosiy yo'ldan ketyapti
o0299	Ko'k avtomobilga nisbatan ustunlikka ega, chunki aylanma harakatli yo'ldan ketayapti
o0300	Chorrahaga o'ng tomondan yaqinlashib kelgan ko'k avtomobilga yo'l berishi kerak
o0301	Tumanga qarshi faralarni yoki yaqinni yoritish faralarini yoqishi
o0302	Faralarning uzoqni yoritish chiroqlarini yoqishi
o0303	Gabarit chiroqlarini yoqishi
o0304	Og'ir vaznli va yirik o'lchamli yuklarni tashishda
o0305	Agar haydovchi o'zini betob his qilsa
o0306	Agar harakatlanish vaqtida mahkamlangan yuk bo'shashib ketsa
o0307	Transport vositasi texnik sabablarga ko'ra 40 km/s dan ortiq tezlikda yura olmasa
o0308	Bermaydi
o0309	Manyovrni tugatish vaqtida beradi
o0310	Manyovrni boshlash vaqtida beradi
o0311	Hamma hollarda beradi
o0312	21 m
o0313	23 m
o0314	14 yoshdan
o0315	16 yoshdan
o0316	18 yoshdan
o0317	Ko'priklarda, estakadalarda va osma yo'llarda
o0318	Ko'priklar, estakadalar va osma yo'llar ostida
o0319	Boshlangan tormozlashni tugatish
o0320	Ulagichni ajratishi
o0321	Tormoz tepkisini oxirigacha bosishi
o0322	Ulagichni ajratishi va to'xtab turish tormozi bilan tormozlashi
o0323	To'xtash uchun ruxsat etiladi
o0324	Kirish va chiqish uchun ruxsat etiladi
o0325	Hamma hollarda ruxsat etiladi, agar to'xtab turish joyida boshqa transport vositalari yo'q bo'lsa
o0326	Ruxsat etiladi, agar ro'paradan kelayotgan transport vositalari yo'q bo'lsa
o0327	Faqat yon kajavasiz motosikllarga ruxsat beriladi
o0328	Agar aylanib o'tayotgan transport vositasining tezligi 8 km/s dan kam bo'lsa, taqiqlanadi
o0329	Hovlidan yo'lga chiqishda
o0330	Yo'ldan hovliga kirishda
o0331	Yonilg'i shoxobchasidan yo'lga chiqishda
o0332	To'xtab turish joyidan yo'lga chiqishda
o0333	Yuk enining chekka nuqtasi oldingi yoki orqa gabarit chirog'ining tashqi chekkasidan 0,4 metrdan ortiq chiqib tursa
o0334	Yuk transport vositasining gabaritlaridan 1 metrdan ortiq chiqib tursa
o0335	Tashilayotgan yuk vazni shu transport vositasi uchun ishlab chiqargan korxona belgilagan kattalikdan ortiq bo'lsa
o0336	Barcha aytilgan hollarda
o0337	Faqat birdaniga keskin burilish sababli
o0338	Faqat birdaniga keskin tormozlash sababli
o0339	Birdaniga keskin tezlik olish va keskin tormozlash sababli
o0340	16°
o0341	20°
o0342	25°
o0343	26°
o0344	30°
o0345	Faqat "В"
o0346	"Б" va "В"
o0347	Ikkita uzun va ikkita qisqa tovushli ishoralari
o0348	Bitta uzun va uchta qisqa tovushli ishoralari
o0349	Uchta uzun va uchta qisqa tovushli ishoralari
o0350	Uchta uzun va bitta qisqa tovushli ishoralari
o0351	Avtobus, avtomobil, velosiped
o0352	Avtomobil, avtobus, velosiped
o0353	Velosiped, avtobus, avtomobil
o0354	Boshqaruv rulini sirpanishga qarama-qarshi tomonga burish
o0355	Boshqaruv rulini sirpanish boshlanayotgan tomonga burish
o0356	Tormoz tepkisini bosish
o0357	Noto'g'ri
o0358	To'g'ri
o0359	Singan joyga sovuq kompress qo'yish, bint bilan tarangroq bog'lash
o0360	Qo'ltiq sohasiga taxtakach qo'yish va to'g'rilab qo'yilgan qo'lini gavdasiga qo'shib bint bilan bog'lash
o0361	Paxta yoki bint o'ramasini qo'ltiq sohasiga qo'yib tirsagidan bukilgan qo'lini gavdasiga qo'shib bint bilan bog'lash
o0362	Ikkita
o0363	To'rtta
o0364	Haydovchining xohishiga ko'ra
o0365	Lat yegan joyni qattiq bog'lash, 15-20 daqiqaga muz solingan xalta qo'yish. Oyoqni yuqori ko'tarish, tinch qo'yish
o0366	Lat yegan oyoqni tarang qilib (pastdan yuqoriga) bog'lash, singandagi kabi shina qo'yish. Bir stakanga yarim choy qoshig'ida ichimlik soda solib ichirish, kasalxonaga jo'natish
o0367	Oyoqni yumshoq predmetga qo'yish
o0368	Chapga burilish uchun mumkin
o0369	Quvib o'tish uchun mumkin agar ro'paradan harakatlanish bo'lmasa va tasma qatnov qismining qolgan tasmasidan uzuq-uzuq chizig'i bilan ajratilgan bo'lsa
o0370	Motosiklga, yengil va yuk avtomobillariga
o0371	Yengil avtomobilga va motosiklga
o0372	Ko'k, yashil, qizil
o0373	Ko'k, yashil bilan bir vaqtda, qizil
o0374	Yashil, qizil bilan ko'k bir vaqtda
o0375	Ulagichni uzmasdan tormoz tepkisini keskin bosish
o0376	Ulagichni uzmasdan tormoz tepkisini ko'plab marta uzuq-uzuq bosish va qo'yib yuborish
o0377	Ulagichni uzgan holda tormozlash
o0378	Faqat oldingi o'qiga ruxsat etiladi
o0379	Oldingi yetakchi ko'prikli avtomobilning faqat orqa o'qiga ruxsat etiladi
o0380	Hamma holda mumkin
o0381	Mumkin, agar bu boshqa haydovchilarning ko'zini qamashtirmasa, shu jumladan, orqani ko'rish ko'zgusi orqali ham
o0382	Mumkin emas
o0383	Aholi punktlaridan tashqaridagi yo'llarda mumkin
o0384	Yaxmalakda, qattiq ulagich bilan
o0385	Yon kajavasi yo'q motosikllarni
o0386	Yon kajavasi bor motosikllarni
o0387	Ulagich bilan birga transport vositalarining umumiy uzunligi 20 metr bo'lganda
o0388	Ikkinchidan boshqa barchasi
o0389	Uchinchidan boshqa barchasi
o0390	Hammasi
o0391	Agar o'zib o'tilayotgan transport vositasining tezligi 40 km/s dan kam bo'lsa, ruxsat beriladi
o0392	Ikkita yoki uchta
o0393	Uchta
o0394	To'rtta va undan ko'p tasmaga
o0395	Kesishadigan yo'lda transport vositalari bo'lmasa chorrahadan to'xtamay o'tishi
o0396	Chorrahadan o'tishda ayniqsa hushyor bo'lishi
o0397	Kesishadigan yo'l bo'ylab harakatlanayotgan transport vositalariga yo'l berish uchun, to'xtash chizig'ida to'xtab, u yo'q bo'lsa kesib o'tiladigan qatnov qismining chetida to'xtashi
o0398	O'ngga birinchi yo'lga
o0399	O'ngga ikkinchi yo'lga
o0400	O'ngga birinchi va ikkinchi yo'llarga
o0401	Transport vositalarining to'xtashi taqiqlangan joyni
o0402	Belgilangan yo'nalishli transport vositalari uchun va taksi to'xtashiga ruxsat berilgan joyni
o0403	Transport vositalarining to'xtab turishi taqiqlangan joyni
o0404	To'g'riga
o0405	Qizil; ko'k sariq bilan bir vaqtda; yashil
o0406	Sariq yashil bilan bir vaqtda; qizil; ko'k
o0407	Qizil; yashil; ko'k sariq bilan bir vaqtda
o0408	Har doim berishi kerak
o0409	Kerak emas, agar harakatlanishning boshqa qatnashchilarini chalg'itishi mumkin bo'lsa
o0410	Kerak, zaruriy ehtiyot choralarini ko'rgan holda
o0411	U yurgizgichni o'chirgan va avtomobilning to'xtab turish tormoz tizimini ulagan bo'lsa
o0412	U yurgizgichni o'chirgan va orqaga siljib ketishga qarshi xavfsizlik buferini o'rnatgan bo'lsa
o0413	U transport vositasining o'z-o'zidan harakatlanishi yoki undan haydovchi yo'q vaqtda foydalanishga yo'l qo'ymaydigan zaruriy choralarni ko'rgan bo'lsa
o0414	Taxtakachni sonning butun uzunligicha tos-sondan tizza bo'g'inigacha qo'yib, singan joy bint bilan qattiq bog'lab qo'yiladi
o0415	Ikkita taxtakach oyoqning ichki va tashqi tomonidan qo'yiladi. Bittasini oyoq to'pig'idan qo'ltiqosti chuqurigacha, ikkinchisini to'piqdan chovgacha
o0416	Ikkita taxtakach oyoqning ikki tomonidan to'piqdan sonning yuqorigi uchdan bir qismigacha (singan joydan 15-20 sm yuqorigacha) qo'yiladi
o0417	18 %
o0418	20 %
o0419	24 %
o0420	25 %
o0421	Har ikki avtomobilning kabinasida
o0422	Shatakka oluvchi avtomobilning kabinasida
o0423	Shatakka olingan avtomobilning kabinasida
o0424	Shatakka oluvchi avtomobilning kuzovida
o0425	Faqat orqaga burilish
o0426	To'g'riga va orqaga burilish
o0427	Belgilangan yo'nalishdagi transport vositalari yo'q bo'lganda ruxsat beriladi
o0428	Belgilangan yo'nalishdagi transport vositalariga ruxsat beriladi
o0429	Ko'rinish ikkala yo'nalishda 1000 metrdan kam bo'lmagan joylarda
o0430	Haydovchining nuqtai nazaricha eng qulay joylarda
o0431	Kesib o'tish uchun belgilab qo'yilgan joylarda
o0432	Temir yo'l bekatiga 1000 metrdan kam bo'lmagan masofada
o0433	Yashil avtomobil sariq bilan bir vaqtda
o0434	Ko'k avtomobil sariq bilan bir vaqtda
o0435	Og'irlik markazi o'ngga siljiganda
o0436	Og'irlik markazi balandda joylashganda
o0437	Og'irlik markazi pastda joylashganda
o0438	Istalgan paytda ruxsat beriladi
o0439	Faqat harakatlanish uchun tasmalari uchtadan kam bo'lmagan yo'llarda ruxsat beriladi
o0440	Faqat chorrahalarda ruxsat beriladi
o0441	Ushbu manyovr xavfsiz bo'lishiga va harakatlanishning boshqa qatnashchilariga xalaqit bermasligiga ishonch hosil qilishi
o0442	Chapga burilish haqida ogohlantirish ishorasi berishi va hech kimga xalaqit bermasligi haqida ishonch hosil qilishi
o0443	Aholi punktlaridan tashqarida tovush ishora berishi
o0444	Ko'rsatilgan barcha harakatlarni bajarishi
o0445	Zararlangan joyni qattiq bog'lash, shikastlanganni yarim o'tirgan holatga keltirish
o0446	Shikastlanganni qattiq yuzaga orqasi bilan yotqizish, zararlangan joylarga qaynoq isitgich qo'yish
o0447	Shikastlanganni qattiq tekis yuzaga yotqizish, bukilgan va ikki tomonga kerilgan tizzalarining bo'g'inlari ostiga g'o'la shaklida o'ram qo'yish
o0448	Oyna tozalagichlar belgilangan tartibda ishlamaydi
o0449	Ishlatib bo'lingan gazlarni chiqarib yuborish tizimi nosoz
o0450	Ishlab chiqargan korxona tomondan ko'zda tutilgan orqa himoya vositasi loyto'sgich va sachratmagichlar bo'lmasa
o0451	Sanab o'tilgan hamma sharoitlarda
o0452	Chapga va o'ngga
o0453	To'g'riga va orqa burilish yo'nalishida
o0454	Hamma yo'nalishlarda
o0455	Bekatda (yo'l o'rtasida) turgan bir xil yo'nalishdagi tramvayga borayotgan yoki undan kelayotgan piyodalarga yo'l berish
o0456	To'xtash va tramvay eshiklari yopilgandan keyin harakatlanishni boshlash
o0457	Tezlikni zarur bo'lganda darhol to'xtash imkonini beradigan darajagacha pasaytirib harakatni davom ettirish
o0458	Oq avtomobil sariq bilan bir vaqtda
o0459	Faralarning yaqinni yorituvchi chiroqlari
o0460	Faralarning uzoqni yorituvchi chiroqlari yoki gabarit chiroqlar
o0461	Faralarning yaqinni yorituvchi chiroqlari (tumanga qarshi faralar) yoki gabarit chiroqlar
o0462	Kunning qorong'i vaqtida yoki tuman bo'lgan sharoitda faralarning yaqinni yoritish chiroqlari
o0463	Avariya yorug'lik ishoralari, u nosoz bo'lganda yoki bo'lmagan hollarda uning orqa tomoniga avariya sababli to'xtash belgisi o'rnatilishi kerak
o0464	Aholi punktlarida gabarit chiroqlari
o0465	Aholi punktlaridan tashqaridagi yo'llarda istalgan yoritish chiroqlarini
o0466	Birinchi chorrahada
o0467	Aholi yashaydigan joyning oxirida
o0468	Yo'lning yotiq sariq chizig'i oxirida
o0469	0,8 mm
